PCA Components,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
5,DecisionTree,0.4346146772116976,0.41750965606032736,0.4140054629831197,0.4183652928453726,0.42651763958627126,0.41750965606032736
5,KNN,0.7616332536325179,0.5081846606584514,0.5053472257021351,0.5023933202138365,0.5166232014229971,0.5081846606584514
5,NaiveBayes,0.6680154496965238,0.32223652749678133,0.3189657644902793,0.26725114550141027,0.2828308972334735,0.32223652749678133
6,DecisionTree,0.4412359757219055,0.42302740481883394,0.41955529953788273,0.4244370436100971,0.43272739527368254,0.42302740481883394
6,KNN,0.7689902519771933,0.5140702593341917,0.5112246815787689,0.5098385560608008,0.5228346913449065,0.5140702593341917
6,NaiveBayes,0.6906382196064006,0.3305131506345411,0.32729578145130445,0.2777373036283713,0.30434705824024005,0.3305131506345411
7,DecisionTree,0.4476733492734964,0.43093617803935996,0.4275170196602852,0.433018448439505,0.442515193902283,0.43093617803935996
7,KNN,0.7883023726319661,0.5273128563546073,0.5245490578934084,0.5234303381416037,0.53603464420379,0.5273128563546073
7,NaiveBayes,0.70424866654405,0.33915762368953467,0.3359290958571975,0.29038519915808947,0.305639958353078,0.33915762368953467
8,DecisionTree,0.45355894794923673,0.4349825271289314,0.4316080236175199,0.4354892072790204,0.44353680873159446,0.4349825271289314
8,KNN,0.7886702225491999,0.5295199558580099,0.5267701945058658,0.5257331763997716,0.5382705258765667,0.5295199558580099
8,NaiveBayes,0.7003862424130954,0.33713444914474894,0.33389064702972615,0.2915799196056188,0.3165403229962439,0.33713444914474894
9,DecisionTree,0.4454662497700938,0.4268898289497885,0.4234528244531937,0.4276101747150115,0.43684048685159366,0.4268898289497885
9,KNN,0.7612654037152842,0.4916314143829318,0.4886568934061976,0.4869702045248788,0.5007865031316141,0.4916314143829318
9,NaiveBayes,0.6990987677027772,0.33952547360676844,0.3362769253564375,0.29467152628608617,0.31886003330304646,0.33952547360676844
10,DecisionTree,0.43976457605297037,0.4221077800257495,0.41865269074532413,0.4217084552143032,0.4287286103487279,0.4221077800257495
10,KNN,0.7575869045429465,0.4862975905830421,0.48331571655873146,0.4813907276435226,0.4989119719075149,0.4862975905830421
10,NaiveBayes,0.6926613941511863,0.33787014897921647,0.3346338811298847,0.29307741979761176,0.3173136437944559,0.33787014897921647
11,DecisionTree,0.4408681258046717,0.42302740481883394,0.4195732476408866,0.42383574029083215,0.4317707530233164,0.42302740481883394
11,KNN,0.7402979584329593,0.44988044877689903,0.4466938792688574,0.44547424051153983,0.4623602675975018,0.44988044877689903
11,NaiveBayes,0.6900864447305499,0.33603089939304764,0.33276266564411366,0.2930520451945371,0.31923307470160295,0.33603089939304764
12,DecisionTree,0.4410520507632886,0.42229170498436636,0.41882877166528293,0.4229512192525206,0.4313004909264115,0.42229170498436636
12,KNN,0.7397461835571087,0.4500643737355159,0.44687053411005667,0.4448507006342848,0.461627276988217,0.4500643737355159
12,NaiveBayes,0.6864079455582123,0.3369505241861321,0.3336581832721214,0.29476502268859717,0.3156080000229674,0.3369505241861321
13,DecisionTree,0.438844951259886,0.421372080191282,0.41790043356410667,0.42239199383521964,0.4305572244933501,0.421372080191282
13,KNN,0.7402979584329593,0.44932867390104836,0.4461373063998921,0.44408631497023016,0.46128673635956086,0.44932867390104836
13,NaiveBayes,0.6853043958065109,0.32885782600698915,0.3255210561618566,0.2881476351497327,0.31188876296248363,0.32885782600698915
14,DecisionTree,0.4456501747287107,0.4257862791980872,0.4223465813200147,0.42561820244658183,0.43301356228155685,0.4257862791980872
14,KNN,0.7358837594261541,0.4489608239838146,0.4457708487001346,0.44071773335050984,0.4546479222948656,0.4489608239838146
14,NaiveBayes,0.6847526209306602,0.3281221261725216,0.3247650804088184,0.29029282147789565,0.3200030792449639,0.3281221261725216
15,DecisionTree,0.4408681258046717,0.4221077800257495,0.4186280693852451,0.4228040010801309,0.4298071823089384,0.4221077800257495
15,KNN,0.7373551590950892,0.451535773404451,0.44837200450931125,0.4441230104479166,0.4600357197091138,0.451535773404451
15,NaiveBayes,0.6860400956409785,0.32701857642082033,0.32362976464843984,0.2905076277630983,0.31659715566734375,0.32701857642082033
16,DecisionTree,0.43571822696339896,0.41806143093617804,0.41456529652385704,0.41942869572628716,0.4273288797812125,0.41806143093617804
16,KNN,0.7397461835571087,0.44804119919073015,0.44485199109986506,0.4402311524107893,0.4567568259817619,0.44804119919073015
16,NaiveBayes,0.681993746551407,0.3294096008828398,0.32604273312675347,0.29200645153505206,0.31954708663013276,0.3294096008828398
17,DecisionTree,0.4347986021703145,0.41640610630862607,0.4128917450771354,0.418052156847382,0.42547990237628996,0.41640610630862607
17,KNN,0.7390104837226411,0.44491447489424313,0.4417034809743939,0.4376410586101621,0.453159543969984,0.44491447489424313
17,NaiveBayes,0.682177671510024,0.3244436270001839,0.32103544465813594,0.2870186348088319,0.3059019446536873,0.3244436270001839
18,DecisionTree,0.4347986021703145,0.41640610630862607,0.4129108554222769,0.41821351125547446,0.4276729350790665,0.41640610630862607
18,KNN,0.7428729078535957,0.4513518484458341,0.44816967299073174,0.4453556226187084,0.46045868821840735,0.4513518484458341
18,NaiveBayes,0.6913739194408681,0.33235240022070994,0.3289872581888504,0.2960970850645863,0.3199268798262357,0.33235240022070994
19,DecisionTree,0.43976457605297037,0.42229170498436636,0.41884186997202333,0.42333170430278655,0.431449327735434,0.42229170498436636
19,KNN,0.7467353319845503,0.4550303476181718,0.4518638064603639,0.4486557187301354,0.46273672345502914,0.4550303476181718
19,NaiveBayes,0.6917417693581019,0.33363987493102815,0.33027393062105126,0.2992426611578272,0.32500537228920406,0.33363987493102815
